payload
"{""sku"": ""SKU959288"", ""name"": ""Monitor - Model 986"", ""price"": 93.03, ""stock"": 30, ""categoryId"": 1630}"
"{""sku"": ""SKU196264"", ""name"": ""Phone - Model 534"", ""price"": 588.69, ""stock"": 378, ""categoryId"": 271}"
"{""sku"": ""SKU114650"", ""name"": ""Phone - Model 301"", ""price"": 105.6, ""stock"": 446, ""categoryId"": 1297}"
"{""sku"": ""SKU778158"", ""name"": ""Keyboard - Model 362"", ""price"": 32.61, ""stock"": 478, ""categoryId"": 1980}"
"{""sku"": ""SKU871965"", ""name"": ""Laptop - Model 986"", ""price"": 605.77, ""stock"": 266, ""categoryId"": 200}"
"{""sku"": ""SKU324596"", ""name"": ""Chair - Model 135"", ""price"": 24.66, ""stock"": 227, ""categoryId"": 1365}"
"{""sku"": ""SKU347604"", ""name"": ""Mouse - Model 900"", ""price"": 91.92, ""stock"": 409, ""categoryId"": 1750}"
"{""sku"": ""SKU860970"", ""name"": ""Chair - Model 226"", ""price"": 233.95, ""stock"": 360, ""categoryId"": 1626}"
"{""sku"": ""SKU653351"", ""name"": ""Desk - Model 747"", ""price"": 225.0, ""stock"": 309, ""categoryId"": 1704}"
"{""sku"": ""SKU142659"", ""name"": ""Tablet - Model 748"", ""price"": 863.99, ""stock"": 146, ""categoryId"": 671}"
"{""sku"": ""SKU433334"", ""name"": ""Keyboard - Model 435"", ""price"": 977.81, ""stock"": 84, ""categoryId"": 241}"
"{""sku"": ""SKU690798"", ""name"": ""Phone - Model 989"", ""price"": 423.93, ""stock"": 17, ""categoryId"": 834}"
"{""sku"": ""SKU531545"", ""name"": ""Tablet - Model 887"", ""price"": 131.9, ""stock"": 413, ""categoryId"": 859}"
"{""sku"": ""SKU932060"", ""name"": ""Tablet - Model 419"", ""price"": 301.38, ""stock"": 148, ""categoryId"": 1907}"
"{""sku"": ""SKU980411"", ""name"": ""Tablet - Model 216"", ""price"": 476.44, ""stock"": 284, ""categoryId"": 1939}"
"{""sku"": ""SKU510215"", ""name"": ""Mouse - Model 788"", ""price"": 700.5, ""stock"": 169, ""categoryId"": 427}"
"{""sku"": ""SKU398935"", ""name"": ""Laptop - Model 814"", ""price"": 233.79, ""stock"": 40, ""categoryId"": 238}"
"{""sku"": ""SKU301804"", ""name"": ""Tablet - Model 396"", ""price"": 974.44, ""stock"": 473, ""categoryId"": 821}"
"{""sku"": ""SKU791433"", ""name"": ""Tablet - Model 599"", ""price"": 788.05, ""stock"": 406, ""categoryId"": 807}"
"{""sku"": ""SKU478429"", ""name"": ""Mouse - Model 555"", ""price"": 309.05, ""stock"": 95, ""categoryId"": 204}"
"{""sku"": ""SKU909654"", ""name"": ""Laptop - Model 950"", ""price"": 949.99, ""stock"": 221, ""categoryId"": 540}"
"{""sku"": ""SKU150541"", ""name"": ""Desk - Model 904"", ""price"": 806.66, ""stock"": 433, ""categoryId"": 1700}"
"{""sku"": ""SKU752976"", ""name"": ""Chair - Model 973"", ""price"": 250.41, ""stock"": 208, ""categoryId"": 1674}"
"{""sku"": ""SKU965019"", ""name"": ""Desk - Model 438"", ""price"": 458.04, ""stock"": 203, ""categoryId"": 722}"
